ETAPA,FORNECEDOR,CNPJ,DATA DE EMISSÃO,DATA DE RECEBIMENTO,DATA DE VENCIMENTO,Nº DO DOCUMENTO,VALOR,MARCA,CENTRO DE CUSTO,FILIAL,TIPO DE DOCUMENTO,TIPO DE SERVIÇO,CÓDIGO DO SERVIÇO,HEFLO,DATA ABERTURA HEFLO,PC,DATA APROVAÇÃO,V360,DATA EDIÇÃO V360,RESPONSÁVEL,DATA DE PAGAMENTO REAL,STATUS,DIAS RESTANTES (ENVIO P/ TIME PAG.),ALERTA (ENVIO P/ TIME PAG.),DATA DE PAGAMENTO IDEAL,STATUS DO PAGAMENTO,OBSERVAÇÕES,FORMA DE PAGAMENTO,ENCARGO FINANCEIRO,VALOR DO ENCARGO
PAGO,BERKLEY,07021544000189,22/01/2026,22/02/2026,15/02/2026,1034310,"R$ 1.073,80",IS,3073,100111,PF,SEGURO DE CARGA,21136,132377,23/01/2026,230402026,13/02/2026,N/A,13/02/2026,PEDRO GUILHERME,26/02/2026,PAGO,,,,PAGO EM ATRASO,"O PF foi gerado inicialmente pela Recebedoria conforme o novo fluxo, porém com CC incorreto, sendo devolvido apenas em 13/02. Para mitigar risco de atraso, o time de Compras (IS) realizou a abertura de um novo PF, possibilitando a finalização do processo e a liberação para pagamento em 20/02.",,,
PAGO,THEODORO GÁS,67549717000168,29/01/2026,29/02/2026,13/02/2026,8064,"R$ 391,00",IS,3073,100111,NFP,ÁGUA GALÃO,00010026,133433,29/01/2026,SELTQI,03/02/2026,359819,03/02/2026,PEDRO GUILHERME,23/02/2026,PAGO,,,,PAGO EM ATRASO,"A fatura ficou do dia 04/02/2026 até o dia 23/02/2026 em ""Classificação de Nota"".",,,
PAGO,FUSION,20327872000176,03/02/2026,03/02/2026,23/02/2026,1633,"R$ 1.249,96",IS,3073,100111,NFS,ROTEIRIZADOR,SV23374CRQ6,134279,04/02/2026,SELTQN,05/02/2026,361102,05/02/2026,PEDRO GUILHERME,23/02/2026,PAGO,,,,PAGO NO PRAZO,N/A,,,
PAGO,BRASIL SERVIÇOS,32957767000108,04/02/2026,04/02/2026,25/02/2026,1466,"R$ 20.603,00",IS,3073,100111,NFS,SERVIÇO DE MANUSEIO,00110088,134397,04/02/2026,SELTQO,05/02/2026,361151,05/02/2026,PEDRO GUILHERME,25/02/2026,PAGO,,,,PAGO NO PRAZO,N/A,,,
PAGO,NISSEYS,59533687000173,04/02/2026,04/02/2026,24/02/2026,48813,"R$ 8.042,98",IS,3073,100111,NFS,SERVICOS DE ARMAZENAMENTO,00110016,134413,04/02/2026,SELTQM,05/02/2026,361372,05/02/2026,PEDRO GUILHERME,11/03/2026,PAGO,,,,PAGO EM ATRASO,"A fatura foi enviada ao fluxo de pagamentos em 05/02/2026. Contudo, somente no dia do vencimento (24/02/2026), após o fechamento de algumas janelas de pagamento, fomos informados de que os dados cadastrados no ERP precisavam de atualização. Essa necessidade não havia sido sinalizada previamente, o que impediu qualquer ação antecipada para evitar impacto na programação do pagamento. Além disso, após o documento não ter sido pago na janela de pagamento do dia 06/03, foi necessário solicitar uma exceção de pagamento para que a quitação pudesse ocorrer em 11/03.",,,
PAGO,BUONNY,06326025000247,03/02/2026,03/02/2026,24/02/2026,440762,"R$ 74,99",IS,3073,100111,NFS,SERVICO DE RASTREAMENTO VEICULAR,SV230KUHRP4,136738,05/02/2026,SELTRL,20/02/2026,362426,20/02/2026,PEDRO GUILHERME,25/02/2026,PAGO,,,,PAGO EM ATRASO,"O processo foi iniciado em 05/02 e permaneceu em classificação de nota até a solicitação de verificação junto à Supervisão Administrativa. Após o contato, na mesma data, o pedido foi encaminhado para a fila de pagamento.",,,
PAGO,E-SALES,07385111000102,03/02/2026,03/02/2026,25/02/2026,3086,"R$ 5.603,52",IS,3073,100110,NFS,DESENVOLVIMENTO E LICENCIAMENTO,00110046,136302,13/02/2026,SEMAF9,19/02/2026,361296,19/02/2026,PEDRO GUILHERME,25/02/2026,PAGO,,,,PAGO NO PRAZO,"O primeiro chamado no Heflo foi aberto em 05/02, com retorno apenas em 11/02 indicando necessidade de correção. Como não é possível editar o chamado, foi aberto novo registro em 13/02, já com os ajustes realizados para dar continuidade ao pagamento. Ainda assim, o processo permaneceu em classificação de nota até 24/02, quando foi solicitado à Supervisão Administrativa o encaminhamento para a fila de pagamento.",,,
PAGO,BUONNY,6326025000166,03/02/2026,03/02/2026,24/02/2026,1590326,"R$ 135,99",IS,3073,100111,NFS,SERVICO DE RASTREAMENTO VEICULAR,SV230KUHRP4,134618,05/02/2026,SELTQS,09/02/2026,360728,09/02/2026,PEDRO GUILHERME,23/02/2026,PAGO,,,,PAGO NO PRAZO,N/A,,,
PAGO,KM STAFF,45238294000122,05/02/2026,12/02/2026,20/02/2026,1737,"R$ 6.315,75",IS,3073,100111,NFS,SERVIÇO DE MANUSEIO,00110088,135846,12/02/2026,SELTR4,12/02/2026,361454,12/02/2026,PEDRO GUILHERME,25/02/2026,PAGO,,,,PAGO EM ATRASO,"O processo foi iniciado em 12/02 e permaneceu em classificação de nota até a solicitação de verificação junto à Supervisão Administrativa. Após o contato, na mesma data, o pedido foi encaminhado para a fila de pagamento.",,,
PAGO,ALLIANZ,61573796000166,11/02/2026,24/02/2026,15/03/2026,1,"R$ 1.073,80",IS,3073,100111,PF,SEGURO DE CARGA,21136,139277,27/02/2026,231112026,11/03/2026,N/A,N/A,PEDRO GUILHERME,13/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
